year,month,month_name,monthly_total_rides,monthly_bus_rides,monthly_rail_rides
2022,4,April,19799880,11480608,8319272
2022,5,May,21178010,12254083,8923927
2022,6,June,21403521,11995182,9408339
2022,7,July,20905053,11554429,9350624
2022,8,August,22291312,12641823,9649489
2022,9,September,23466609,13266349,10200260
2022,10,October,23576296,13300536,10275760
2022,11,November,20934640,12055415,8879225
2022,12,December,18860877,11092088,7768789
2023,1,January,19871252,11701716,8169536
2023,2,February,19366395,11604685,7761710
2023,3,March,22890408,13504682,9385726
2023,4,April,21987421,12804436,9182985
2023,5,May,24283993,14126901,10157092
2023,6,June,23590750,13186305,10404445
2023,7,July,23019457,12999142,10020315
2023,8,August,25640312,14528742,11111570
2023,9,September,25853360,14796427,11056933
2023,10,October,26752333,15242489,11509844
2023,11,November,23815456,13895032,9920424
2023,12,December,22075361,13308801,8766560
2024,1,January,21435348,12883065,8552283
2024,2,February,23708494,14408475,9300019
2024,3,March,24901491,14794052,10107439
2024,4,April,26073550,15615211,10458339
2024,5,May,27698042,16367601,11330441
2024,6,June,25671440,14742769,10928671
2024,7,July,26586642,15306884,11279758
2024,8,August,27279293,15534600,11744693
2024,9,September,27827069,16161092,11665977
2024,10,October,30145065,17514190,12630875
2024,11,November,25012893,14700298,10312595
2024,12,December,22857707,13705388,9152319
2025,1,January,24181632,14821355,9360277
2025,2,February,23824411,14832654,8991757
2025,3,March,27844517,16922695,10921822
2025,4,April,29084057,17571190,11512867
2025,5,May,29900223,17835573,12064650
2025,6,June,28730506,16612739,12117767
2025,7,July,29698893,16989696,12709197
2025,8,August,30843136,17556469,13286667
2025,9,September,30877659,17853337,13024322
2025,10,October,31981440,18355264,13626176
2025,11,November,26200010,15341271,10858739
2025,12,December,24875206,14956550,9918656
2026,1,January,24390260,14850414,9539846
2026,2,February,25334789,15590920,9743869
2026,3,March,28439729,17007755,11431974
